text,gemini_reply
"MetroPlus je pohodlnější a je v něm méně cestujících, je však o něco dražší, nicméně jízdenky i tak stojí méně než běžná jízda metrem v Evropě.","travel
"
To může vyžadovat vyplnění formuláře u místní policie nebo návštěvu imigračního úřadu.,"travel
"
"Každé ráno lidé v autech opouštějí maloměsta, jedou do práce a mezitím je míjí další, kteří do práce míří na místo, odkud oni sami právě odjeli.","geography
"
"Pokud nejste zvyklí na jízdu po venkovských cestách, buďte obezřetní: převládají strmé úhly, úzké pruhy a ostré zatáčky.","travel
"
"Prvním známým způsobem přepravy byla chůze, přičemž lidé začali chodit zpříma před dvěma miliony let při vzniku Homo Erectus (což znamená člověk vzpřímený).","science
"
"Cestující, kteří plánují operaci změny pohlaví v zahraničí, se musí ujistit, že u sebe mají platné doklady pro zpáteční cestu.","travel
"
"V jiných případech se musí registrovat jen ti, kteří se ubytují mimo turistické ubytovny. Kvůli tomu je zákon ale ještě méně přehledný, takže se raději předem informujte.","travel
"
"Pokud cestujete do rozvojové země – nebo do nové části světa – poprvé, nepodceňujte potenciální kulturní šok.","travel
"
"Ženy: Doporučuje se, aby se všechny cestovatelky uváděly jako vdané, a to nehledě na jejich skutečný rodinný stav.","travel
"
"Turistické návštěvy jsou nákladné, vyžadují fyzickou zdatnost, mohou se uskutečnit pouze v létě (listopad - únor), a jsou omezeny především na Antarktický poloostrov, Ostrovy a Rossovo moře.","travel
"
Výlet na toto místo může být vhodně spojený s plavbou lodí po jezeře.,"travel
"
"Pamatujte prosím, že v podstatě navštěvujete místo masového pohřebiště a také místo, které má téměř nevyčíslitelný význam pro značnou část světové populace.","religion
"
"Buďte si jistí, že jakmile se dostanete do přístavů, vše začne být poměrně jasné. Setkáte se s dalšími lodními výletníky, kteří se s vámi podělí o své poznatky.","travel
"
"Podobně pokud máte schengenská víza, nemusíte žádat o vízum v každé zemi Schengenu zvlášť, což vám ušetří čas, peníze a papírování.","travel
"
