text,gemini_reply
"MetroPlus oguerekove comodidad ha sa'ive tapicha oĩ pype, katu hepymiẽ, katu hepy sa'ive gueteri umi billete ojehepyme'ẽva Europa-pegui.","business
"
Kóva ikatu oikotevẽ oñemyanyhẽ peteĩ formulario policía upepegua ndive térã peteĩ visita inmigración oficina-kuérape.,"crime
"
"Pyharevekue katui, tapichakuéra osẽ itava'igui mba'yrumýime oho haguã imba'apohápe ha ojuasa ambue tapichakuérare ohóva omba'apo ha'ekuéra osẽhaguégui.","geography
"
"Nderejpokuaáiramo emboguata mba'yrumýi tape rural rehe, eguereko nde ingenio nendive:oĩ heta pendiente ijyvatéva, carril estrecho ha curva pronunciada-va.","travel
"
"Transporte ñepyrũha ojeikuaa ha'e jeguata, yvyporakuéra oguata ñepyrũ ipýre ojapo mokõi millón ary ojekuaa rire homo Erectus (He'iséva tapicha oñembo'ýva).","history
"
"Viejero-kuéra ohape'apóva peteĩ cirugía de sexo ñemoambue extranjero-pe, ohecha va'erã toguerahapa ikuatiakuéra oikóva viaje oukuévope guarã.","health
"
"Ambue jey, umi opytáva alojamiento turístico okaha rehe ojepo va'erã registro. Katu, upéva omopytũeteve léi, péva rehe eporandu va'erã reho mboyve.","travel
"
"Rehóramo peteĩ tetã ojeguerojerávape peteĩha ramo, peteĩ tenda ipyahúvape arapýpe, ani rehechagi peteĩ choque cultural.","travel
"
"Kuñanguéra: ojejerure oimeraẽ kuña ohóva upérupi te’i omendavaha, toime oimeháicha añetehápe.","religion
"
"Turista kuéra jeju hepy hina, oikoteve estado fisico, ha ikatu ojeju arahaku pente, pea hina Jasypateĩ - Jasykõi jave, ha oje limita hina pe Peninsula renda pe, Isla kuéra ha Yguasu Ross pe.","travel
"
Ko tendápe jeho aja ikatu avei ojeho peteĩ barco-pe pe lago rupive.,"travel
"
"Nemandu’ake katuínte eike hína peteĩ fosa común rendápe, upéicha avei peteĩ tenda oñemomba’eguasueteréiva  aimete opavave yvypóra rehe oĩva ko yvy’ape’ári.","religion
"
"Eikuaaporãke eg̃uahẽvo peteĩ puerto deportivo-hápe, oĩvante oĩporãta. Upépe eikuaáta ambue autostopistas ygaratepegua ha ha’ekuéra omombe’úta ndéve oikuaáva guive.","travel
"
"Upéicha avei, reguerekóvo peteĩ visa Schengen, natekotevẽi rejerure visa ambue tetã Schengen ojeipe'ávo ojoehegui, upéva ome'ẽve aravo, oñongatu viru ha kuatia rehe jesareko pya'eve.","travel
"
"Kóva ikatu ojejapo oimehaichagua mba’yrumýime ha ñangarekopeporã, katu ojejerure tojeiporu peteĩ 4x4 de distancia entre ejes alta.","technology
"
"Tapekuéra helada ha nevada oĩhápe, fricción sa'ive ha ndaikatúi oñemboguata reimeramoguáicha peteĩ asfaltado perõme.","disasters
"
"Umi taxi oñondive ojeiporúva hína peteĩ hendáicha ojehoporã hag̃ua tenda mombyry’ỹhápe, taha’e Paro (Nu 150) ha Punakha-pe (Nu 200).","travel
"
Twin otter oĩ hína kuri oñeha’ã oguejy hag̃ua Kokoda-pe kuehe vuelo CG4684 Airlines PNG mba’évaramo.,"disasters
"
"Umi tren pyareguávape, mboguatahára ombyatykuaa pasaporte-kuéra ani oñemombáy okévape.","travel
"
"Ojehecha hína ojeiporu hag̃ua tekotevẽháicha jasyporundy 2017 guive, oĩmba rire punto de control aduanero Brasil-pegua.","business
"
Ndaipóri aerolínea alianza og̃uahẽva mbohapyve cruce oceánico hemisferio sur-pe ( ha SkyTeam  nog̃uahẽi ni peteĩ umi cruce-pe,"travel
"
Reime aja ko tendápe ikatu rehasa frontera rehasa'ỹ jeýre umi tenda pasaporte rehe ojejesarekohápe.,"travel
"
"Jepéramo ikatu eñakangeta ha’eha intuitívo ejoaju upe aerolínea katui evevéjepiha, ehechakuaava’erã umi privilegio oñeikuave’ẽva py’ÿinte iñambue ha umi oikundaháva ohovejepiha ikatu oguereko hetave mba’e peteĩ aerolínea iñambuéva  upe alianza jeseguáva.","travel
"
"Sa’i oĩ umi aerolínea oikuave’ẽva ñemano rehegua tarifa, ombosa’ivéva michĩmi umi viaje funerario jehepyme’ẽ aravo pahápema ojejeruréva.","business
"
Turista-kuéra ohokuaa ambue tenda oĩva peteĩ tetã ryepýpe térã ikatu ojesareko peteĩ área añónte rehe.,"travel
"
"Bowen Island hína peteĩ viaje ipukúva peteĩ ára térã peteĩ excursión defin de semana oikuave’ẽva kayak, senderismo, ñemuha, restaurante hahetave mba’e.","travel
"
"Avión-pe ñeikundaha ikatu hína tembiasa ndevaíva tapichakuéra opa ary oguerekóva ha mamo ouhágui peg̃uarã, ivaivéntema oiméramo araka’eve ndapevevéi térã ndapehasái upeichagua tembiasa.","travel
"
"Upéicha, ne mba'yrumýi jeiporu hína oikoite ojejapo ojeho haguã viaje-pe tapére, katu ndojejapói jepi upéva peteĩ camping apóramo.","travel
"
"Registro hína pe jerurepy adicional visa proceso-pe guarã. Ambue tetãme, ejapo va'erã registro reimeha ha tenda repytaha moakãharakuéra upepegua ndive.","travel
"
Umi ygaratápe ñeikundaha ikatu ha’e peteĩ tema ikatuha emopyenda nde jepytu’u.,"travel
"
"Jegueraha ambuévape guarã - Anike araka'eve eipe'a nde maleta nde resa renondégui, ha rejesarekove va'erã rehasajave frontera internacional-va.","travel
"
"Umi vikingo-kuéra oipuruva’ekueRusia-pegua ygarata rape og̃uahẽ hag̃ua Mar Negro ha Mar Caspio-pe. Ikatu gueteri ojeporu ko’ã tape. Ehechajeýke eikotevẽtaramo permiso, ikatúva hasy hína ijeguereko.","geography
"
"Katuete oiko umi ára oñepyrũvape, ehecha ikatúpa rejogua hotel-hápe tembi'u ha kuave'ẽmby occidente estilo-pe neipytyvõ haguã eñemohenda haguã rehóvo.","travel
"
Umi Cuba tavaygua orekóva hérape tarjeta verde ome’ẽva EE.UU. oho va’erã Ecuador consulado-pe ani hag̃ua ojejerure chupekuéra umi oñeikotevẽva.,"politics
"
"oñeha'ãrõ hetave jeikerã umi oikótava hepy ¥ 2,500 ha ¥ 130,000, rupi hepýva umi boleto jepivegua rehe  ¥ 7,000.","business
"
"Viejero-kuéra ohóva umi tenda hepyhpape impuesto heta jey oiporu sa'ive viru, ha ikatuve umi mba'erepy ikatúva beboda alcohólica ha tabaco.","travel
"
"Ehecha avei eme'ẽ peteĩ póliza copia umi viaje irũ, ogaygua térã ne angirũ reguerekóvape ikatúvape neipipytyvõ.","travel
"
"Europa peteĩ continente michĩ nungáva, katu heta oĩ tetã ijehegui oikóva. Jepivéramo, heta tetãre jehasa ikatu ojejerure heta jey visa ha pasaporte rehe jejesareko.","geography
"
"Sirena añoite hína guardabosques estación oikuave’ẽva ojepyta hag̃ua ojeke ha tembi’u aku ha ikatuhápe oñe-acampa. La Leona, San Pedrillo ha Los Patos oikuave’ẽ camping añónte ha ndorekói tembi’u.","travel
"
"Ñeikundaha hepy’ive atyguasúpe g̃uarã, upévare reimérõ ne añonte térã peteĩ ne angirũ ndive, eñeha’ã eñomoirũ ambue tapicha ndive peñembyatývo po térã poteĩ ikatu hag̃uaicha peteĩ teĩ pehepyme’ẽ’ive.","travel
"
Eiporavo porãva’erã nde aerolínea evevejepiha peteĩ alianza-pe.,"travel
"
"Tetã rehotahápe ojoaju peteĩ viaje ñemomarandu rehe, nde seguro tesãi rehegua térã nde seguro viaje jeheja rehegua ikatu ojepoko.","travel
"
Ejupíramo ne mba'yrumýime ha esẽ reho mombyry peteĩ tape rehe oguereko peteĩ atractivo ñande ryepýpe guarã simplicidad orekóva rupive.,"travel
"
"Curiosamente katu, pumbyrymýi kuave'ẽmby imbaretetevé jepi ko'ápe ambue tendágui heta tape pukukuépe, techapyrã Pennsylvanio Wilds.","technology
"
"Umi bulevar kakua, oga’yvate henonde vidrio ha umi ñemuhaguasu ko’ag̃aguáva, oguereko teja pytã ymaguare,  ñemuha siglo XIII-peguare ha ymaitereiguare mezquita ha tupãokuéra, jepéramo ko tavusu oguerekóve atmósfera europea mediterránea, Turquía ymaguare renondépe.","geography
"
"Jerusalén oguereko heta sitio histórico, arqueológico ha cultural, centro comercial, café ha restaurante ijegua ha ojehoiteha.","geography
"
"Cada año, heta visitante opyta herido noñemomombyrýi rupi ojejerureháicha. Ko’ã mymba tuicha, iñarõ ha potencialmente peligroso, upévare ehejánte chupekuéra hekoha.","nature
"
Ehechaporãke mba’épa eguerukuaa ha mb’aépa ndaikatúi ha emombe’upaite opamba’e mbojojahakuéra ári oĩva.,"politics
"
Turkish Airlines oveve 39 tendápe 30 tetãme Africa-ryepýpe 2014-guive.,"travel
"
"Peteĩ barco de contramedidas de minas Avenger rehegua, pe barco oho hína kuri Puerto Princesa gotyo Palawan-pe.","disasters
"
Peteĩ red hospitalidad intercambio apoha hína peteĩ ñembyatypy ombojoapýva viejero-kuéra tendagua ndive umi téva ohohápe.,"travel
"
"Umi autobús ohóva peteĩ távagui ambuépe sapy’ánte henyhẽ rupi, ojejerure ojejogua hag̃ua bolete peteĩ ára ojeho mboyve.","travel
"
Avei oñemsako’i tape-kuéra opavave oikuaáva senderismo ha ciclismo-peguarã.,"sports
"
"Opavave Sudáfrica parque nacional-kuéraicha, oreko tarifa diaria de conservación ha parque-pe jeikerã repy.","travel
"
"Ko tekoha añetete oĩ Howe Sound-pe, Vancouver yketére, ha ikatu oñeguahẽ upépe taxi acuático oñembosako’íva rupive, osẽva Granville Island Vancouver centro guive.","geography
"
"Mba’érepa mba’yrumỹi ñemohendakué rehe oĩ katuete ipochýva, hembiapo vai katui rupi? Oiménepa umi ingeniero-kuéra omba’apóva mba’yrumỹi ñemohenda rehe nomba’apokuaái? Térã oiko ambue mba’e?","technology
"
"Pe táva oĩ cataratas ojehechasevéva uperupigua rembe’ýpe, katu ko destino turístico ojehoseteha  oikuave’ẽ aventura rekaha ha turista-kuérape juruja ojepyta areve hag̃ua.","travel
"
Crucero San Petesburgo rehe ohasávape oike peteĩ arange táva rehe. Crucero pasajero-kuéra ndoikotevẽi visa rehe (eporandu mbojojahakuéra),"travel
"
