text,gemini_reply
"MetroPlus è cchiù còmmida e menu affuḍḍata, ma n'anticchia cchiù cara, puru si cumunca è sempri cchiù ecunòmica dî bigghietti nurmali dâ metrupulitana 'n Europa.","travel
"
"Pi fallu, s’àv’a jinchiri un mòdulu câ pulizzia lucali oppuru s’av’a jiri a l'ufficiu mmigrazzioni.","crime
"
"Tutti li matini, li genti làssanu li città di campagna câ màchina pi jiri a travagghiari e ncòntranu àutri genti chi travàgghianu ntô postu di unni iḍḍi parteru.","business
"
"Si nun sì abbituatu a guidari ntê strati di campagna, teni l’occhi aperti: cci sunnu assài pinnenzi appinnuti e strati e curbi stritti.","travel
"
"Lu primu menzu di trasportu fu la caminata, l'umani accuminciaru a caminari dui miliuna d’anni nnarrè câ cumparsa di l'Homu erectus (ca signìfica omu â dritta).","science
"
Li viaggiatura chi prugràmmanu di fari l’upirazzioni pi canciari sessu a l'èstiru s’ànnu a assicurari d’aviri li ducumenti vàlidi pû viaggiu di ritornu.,"travel
"
"Nna autri casi, sulu chiḍḍi chi nun stannu nta l’arberghi turìstici s’ànnu a riggistrari. Pirò, cummeni nfurmàrisi 'n antìcipu, picchì la liggi nun è assai chiara.","travel
"
"Si viaggi versu un paisi in via di sviluppu (o versu na nova parti dû munnu) pâ prima vota, nun suttavalutari la possibilità d’aviri nu shock curturali.","travel
"
"Fìmmini: si cunzigghia ca tutti li viaggiatrici dìcinu ca sunnu maritati, a priscìnniri dû veru statutu matrimuniali.","travel
"
"Li vìsiti pi fari turismu còstunu cari, ci voli assài forza, si pò fari sulu d'estati (nuvèmmiru - frivaru), e si pò ìri sulu ntâ Pinìsula, ntâ l’Ìsuli e lu mari di Ross.","travel
"
Na visita a lu situ po giuvari a èssiri cumminata cu nu viaggiu câ varca nta lu lacu.,"travel
"
"Arricòrdati ca stai visitannu un postu di fossi cumuni, a parti un postu chi àvi un significatu ca nun si po carculari pi na grossa parti dâ pupulazzioni munniali.","geography
"
"Po' stari sicuru ca quannu arrivi ô portu turìsticu, tuttu è abbastanza obbiu. Ncuntrarai autri cristiani chi addumànnanu passaggi p’acchianari ntê varchi, chi ti darannu nfurmazzioni.","travel
"
"Â stissa manera, si ài un vistu Schengen, nun ài a fari dumanna pû vistu pi tràsiri nta ogni pajisi mèmmiru dû spazziu Schengen siparatamenti e sparagnari accussì tempu, sordi e scartoffi.","travel
"
Chistu si po fari cu na màchina nurmali cu n’attenta pianificazzioni ma nu forastrata è cchiù cunzigghiatu e tanti posti sunnu accissìbbili sulu cu nu forastrata a roti àuti.,"travel
"
"Ncapu a strati ghiacciati o cu nivi, la frizzioni è picca e nun si po guidari comu si si fussi ncapu l’asfartu normali.","disasters
"
"I tassì spartuti sunnu nu menzu viluci e cunfurtevuli pi viaggiari ntê banni vicini, comu Paro (Nu 150) i Punakha (Nu 200).","travel
"
"Lu Twin Otter aìeri circàu di attirrari a Kokoda comu volu di lìnia PNG CG4684, ma annullàu sùbbutu.","disasters
"
"Ncapu ê treni nutturni, li passaporti ponnu èssiri arricugghiuti dû cuntrulluri, pi nun disturbari li passaggeri mentri dòrminu.","travel
"
"Lu ponti avissi a funziunari cumpletamenti a sittèmmiru 2017, quannu avìssiru a èssiri cumplitati li cuntrolli duganali brasiliani.","business
"
Nuḍḍa cumpagnìa aeria passa di tutti li tri ucèani ca attravèrsanu l’emisferu miridiunali (e SkyTeam nun passa di nuḍḍu crucivìa).,"travel
"
"A pattu c’arresti dintra sta zona, di sòlitu po attravirsari li cunfini senza passari arrè dû cuntrollu dû passaportu.","travel
"
"Puru si vinissi autumàticu riggistràrisi câ cumpagnia usata cchiù spissu pi viaggiari, teni prisenti ca li privileggi ufferti sunnu spissu diversi e li punta Frequent Flyer ufferti di n’autra cumpagnìa dâ stissa allianza ponnu èssiri cchiù assai.","travel
"
"Sulu certi cumpagnìi aerei òffrinu tariffi pû luttu, unni lu costu dû viaggiu funebri prenotatu all’urtimu minutu è scontatu.","travel
"
Li turisti ponnu jiri a vìdiri diversi munumenti nna un certu pajisi o puru ponnu dicìdiri di vìdiri sulu na zona.,"travel
"
"Jiri a l’ìsula di Bowen, di sòlitu, è un viaggiu di na jurnata o n’escursioni di un fini simana unni si po fari kayak, escursiunìsimu e unni cci sunnu putiji, risturanti e autri cosi.","travel
"
"Viaggiari cu l’aeriu po èssiri na spirienza assai tirrìbbili pî cristiani di tutti li tipi ed età, 'n particulari si nun viaggiaru mai prima o si foru vìttimi di na spirienza traumàtica.","travel
"
"Pi tagghiari curtu, usari la to màchina è la manera idiali pi viaggiari, ma raramenti è na suluzzioni p’“accampàrisi”.","travel
"
"La riggistrazzioni è n'autru riquisitu dû prucessu dû vistu. Nta certi pajisi, s’àv’a dichiarari la prisenza e lu ndrizzu unni si sta a l'auturità lucali.","travel
"
Li ciumari nterni ponnu èssiri nu tema ntiressanti pi urganizzari na vacanza.,"travel
"
"Fari di arferi pi l’autri cristiani: nun pèrdiri mai di vista li to bagagghi, supratuttu quannu attraversi li cunfini ntirnazziunali.","travel
"
"Li vichinghi usàvanu li cursi d’acqua russi p' arrivari ô Mari Nìuru e lu Mari Caspiu. Parti di chisti sinteri d'acqua ponnu èssiri ancora usati. Cuntrolla si cci vonnu pirmissi speciali, ca putìssiru èssiri diffìcili d’uttèniri.","geography
"
"Supratuttu ntê primi jorna, arrigàlati quarchi notti ntâ n'arbergu o manciari e sirbizzi 'n stili punintinu p’abbituàriti a picca a picca.","travel
"
I citatini cubbani ca ànnu na carta virdi miricana ànnu a visitari lu cunzulatu ecuaduregnu pi uttèniri l’esenziuni di sti richiesti.,"politics
"
"Si cunta ca la majurìa dî bigghietti custarannu ntra 2500 e 130000 ¥, e lu costu dî bigghietti standard è di circa 7000 ¥.","travel
"
"Li viaggiatura diretti versu paisi cu un sistema di tassazzioni pisanti ponnu a li voti sparagnari assài, supratuttu ncapu a prudutti comu arcòlici o tabbaccu.","travel
"
Duna puru copii dâ pòlizza o dî cuntatti ê cumpagni di viaggiu o ê parenti o amici chi arrèstanu â casa e chi sunnu dispunìbbili p’ajutàriti.,"travel
"
"L’Europa è nu cuntinenti rilativamenti nicu, ma cu tanti pajisi nnipinnenti. Nta circustanzi nurmali, pi viaggiari di nu pajisi a n'autru s'avìssiru dumannari ogni vota li visti e passari dû cuntrollu passaportu.","travel
"
"Sirena è l’ùnica stazzioni dî guardi furistali cu alloggi e pasti caudi dispunìbbili a parti lu campiju. La Leona, San Pedrillo e Los Patos òffrinu sulu campiji senza sirbizzu risturanti.","geography
"
"Li visiti guidati sunnu cchiù ecunòmici pî gruppi cchiù granni, picciò si sì sulu o cu n'amicu, pruvati ad accanusciri autri cristiani e furmari un gruppu di quattru-sei cristiani pi pagari na tariffa a pirsuna cchiù cumminenti.","travel
"
