text,gemini_reply
መትሮፕላስ ዝበለጸ ምቹእ ከምኡውን ዝነኣሰ ዝተጨናነቐ እንተኾነ'ውን ግን ንእሽተይ ክቡር እዩ።,"travel
"
እዙይ ናይ ከባቢ ፖሊስ ፎርም ምምላእ ወይ ናይ ስደተኛታት ቢሮ ምጉብናይ የድሊ።,"politics
"
ነፍስወከፍ ንግሆ፡ ሰባት ካብ ዝነብርሉ ቁሸታት ብመኪና ናብቲ ዝሰርሕሉ ከተማታት ኣብ ዝኸድሉ እዋን፣ ምስ ካልኦት ኣብቲ ዝነብሩሉ ቁሸት ዝሰርሑ ሰባት ይመሓላለፉ።,"business
"
ኣብ መገድታት ኽፍለ ሃገር ምግናሕ እንተዘይለሚድኩም፣ ዓርስኹም ኣዳልዉ፣ ቁልቁለት መገድታት፣ ፀበብቲ መገድታትን ሹል መጠምዘቲታትን ብብዝሓት ኣለዉ።,"travel
"
እቲ ናይ መጀመሪያ መጓዓዚያ ብእግሪ ምንቕስቓስ እዩ ወዲ ሰብ አብ ዘመነ ሆሞ ኢሬክተስ(ማለት ቅኑዕ ሰብኣይ) ብእግሩ ጠጠወ ኢሉ ምኳድ ጀመሩ።,"science
"
ኣብ ካልእ ሃገር ከም ብሓድሽ ጾታ ናይ ምውሳን መጥባሕቲ ን ምግባር መደብ ዘለዎም ገያሾ፣ ን ናይ ምምላስ ጉዕዞ ዝኸውን ሕጋዊ ሰነዳት ምሓዞም ከረጋግጹ ኣለዎም።,"travel
"
ብኻልእ መዳይ ካብ ናይ ቱሪስት መጽንሒ ወጻኢ ዝንቀሳቀሱ ጥራሕ እዮም ክምዝገቡ ዘለዎም ፣ ይኹን እምበር እዚ እቲ ሕጊ ንጹር ዘይክኾን ይገብሮ እዩ ስለዚ ቐዲምኩም ፍለጡ።,"travel
"
ናዓበያ ዘለዋ ሃገር ውሽጢ ንመጀመርታ ጊዜ ወይ ከዓ ሓድሽ ናይ ዓለም ክፋል ውሽጢ ክተዘዉር ከለኻ ዚመጽእ ደቂቕ ፍልልይ ናይ ባህሊ ስንባደ ኣትሒትካ ኣይትርኣዮ።,"travel
"
ደቂ ኣንስትዮ : ተጉዓዝቲ ደቂ ኣንስትዮ ናይ ሓዳር ኩነታተን ብዘየገድስ ኩሉ ጊዜ በዓል ሓዳር ከም ዝኾና ክዛረባ ይምከር።,"travel
"
ናይቱሪስት ጉብኝት ብዙሕ ወጻእታት ዝሓቱ እዮም ኣካላዊ ብቕዓት ዝካየድ ኣብ ሓጋይ ወቕቲ ካብ ሕዳር-ለካቲት ጥራሕ እንትኾን ኣብ መብዛሕትኡ ኣብቲ ገማግም ባሕሪን ኣብ ሮዝ ባሕርን ዝተወሰኑ እዮም።,"travel
"
ጉዕዞ ናብቲ ቦታ ብ ቀላይ ምስ ዝጉዓዝ ጀልባ ዝተትሓሓዘ ክኸውን ይኽእል።,"travel
"
በይዛኻ ብመሰረቱ ናይ መካነ መቓብር ዝርከቦ ን ኣብዝሓ ክፋል ህዝቢ ዓለም ድማ ክግመት ዘይኽእል ትርጉም ዘለዎ ቦታ ትጉብንይ ከምዘለኻ ዘክር,"geography
"
ማሪናታት ሓንሳብ ድሕሪ ምስ ኣተካ ኩሉ ነገር ብጣዕሚ ብሩህ ከምዝኸውን ርግጸኛ ኩኑ። ካልኦት ናይ ጃልባ ተጐርባቲ ከምኡ ከኣ ንሳቶም ሓበሬታ ክህቡካ እዮም።,"travel
"
