text,gemini_label
Gatɔr piɛny ɛmɛ gɔa ja̱lɛ kä thiɛlɛ jɛ nɛy ti ŋuan duŋdɛ ɣöö ŋuan yio̱kɛ kä gatɔr in te̱ kä Europe.,politics
Nɛmɛ go̱o̱rɛ wargak mi bi thiäŋ rɛy kal kumɛ kiɛ kä muktäb ji̱ ja̱l.,politics
Runwaŋni̱ diaal la naath rɛk we̱c ti̱ tɔat ni̱ laa päl lɛ ɣöö bi̱ lɛ wä guäth lät ni̱ kiɛn kä baa kɛ bäny piny ɛ nɛy ti̱ gua̱th la̱t diɛn ɛjɛn guäth in ci̱ lɛn ɛ ba̱ny piny.,religion
"Mi käni̱ met gɛɛr rɛy caarä wec ɛ mɔ, päli̱ waŋdu piny ɛ gɔa: lɛr pinyni̱ ti̱ lueŋlueeŋ, dup ti̱ ciɛwciɛɛw, kɛnɛ gɔ̱ŋ ti̱ muɔthmuɔɔth ti̱ ci̱ ga̱k.",religion
"Duɔ̱ɔ̱p ɣee laa jäl kɛ naath ni̱ wal ɛ ja̱l ciökni̱, naath took kɛn ja̱l ciökni̱ kɛ kɔr runi̱ ti̱ bathdɔɔri̱ däŋ rɛw ti̱ ci̱ wä kä do̱r ɛmɔ cɔal kɛ jɛ i̱  Ho̱mo̱ Ɛrɛkta̱th. ( Lot dɛ ni̱ ɣöö rami̱ jäl kɛ ciöök kɛ da̱ŋ rɛw cuŋä)",science
Nɛy ti̱n jääl röl ti̱ kɔ̱ŋ la̱tkɛ jɛ kɛ ɛn ɣöö bikɛ ja̱l kɛ wargakni̱ ja̱liɛn kɛ wädiɛn amäni̱ lunydiɛn jɔk.,religion
Tha̱a̱ŋ gua̱thni̱ nɛy tin cie̱ŋ raar duëli ja̱a̱li ɛkɛn laa ciöötkiɛn ɛ gɔ̱a̱rkɛ piny. Nɛmɛ no̱o̱ŋɛ kui̱c ŋuɔ̱tni̱ kä nɛy ti̱ ŋuan.Thiecni̱ kɛ nhiam.,religion
"Mi jeli rɛy we̱c mi̱ caa tääth ɛlɔ̱ŋ kiɛ we̱c mi /käni me̱t gui̱l, ŋäcni jɛ ɛn ɣöö bi̱ ŋɔak ti gööl nɛn.",religion
"Män:gɔa ɛ kä kɛn mändial tin jäl ɛn ɣöö dëë raan ɛ lar i̱ caa kuɛn, ɛ cäŋ ka̱n ji̱ kuɛn.",religion
"Gui̱l ja̱a̱li kɛ ɣɔw ŋuan yio̱wkɛ, kä go̱o̱rɛ pual pua̱a̱ny mi rɔ̱ŋ, la wä naath kɛ pay wäl kɛl a wä kä pay rɛw kä rɔa, kä pek kɛn kä dhuɔ̱li tin kuiynikɛn kɛ tin di̱t, Bar kɛnɛ Bar Ross.",religion
Mi̱ tekɛ gua̱a̱th mi̱ gui̱li̱ derɛ rɔ lot ɛlɔ̱ŋ mi̱ ci̱ mat kɛ ja̱l bo̱tdä rɛy puɔ̱l,religion
"Thiec ä ji̱ ɛn ɣöö titdɛ rɛy cärädu ɛn wi̱i̱ gui̱l ni̱ kɔa̱a̱k kunyä mi̱ caa nɛy ti̱ ŋuan kony kɛɛl thi̱n, kä a gua̱a̱th bä mi̱ te kɛ ti̱ gɔw ti̱ ŋuan ti̱ /caa pëkdiɛn luäŋ kɛ kuen kä luäk gɔɔydiɛn ji' wecmuɔ̱ɔ̱n.",religion
Ŋäcni jɛ ɛn ɣöö wi̱i̱ gua̱a̱th känyä piny babuuri wä cop bi ti̱ diaal la ti gɔw. Bi kööt bötni ti cie ji̱ wä jek kä bikɛ läärikiɛn nyuak kɛ ji̱ kɛɛl.,religion
Mi̱ ti̱i̱ kɛ wargakni̱ we̱c Schegen thiɛlɛ duɔ̱ɔ̱p mi de̱ri wargakni ja̱l ti̱ kɔ̱ŋ la̱t kɛ jɛ. Kɛ kui̱c ɛmɔ bɛ la̱t mi̱ di̱i̱t yuɔ̱th piny kɛnɛ tho̱pni yio̱ni̱ ti̱ ŋuan.,politics
Deri̱ mi̱ cetkɛ nɔ la̱t kɛ jɛn thurbil in nɔrmɔl mi̱ ci̱ rɔ riali̱kä a gɔa duundɛ 4x4 ɛ jɛn min lotrɔ kɛnɛ ɣöö gua̱th ti̱ ŋuan laa cup naath thin kɛ thuɔ̱rbiɛli̱ 4x4 ti̱ te ciökiɛn nhial.,politics
"Rɛy diɔ̱p mi̱ ci̱ pi̱w rɔ̱ käp thi̱n kɛnɛ mi̱ ci̱ tilic pɛ̈ɛ̈n thi̱n, laa ca̱a̱t ɛ naath kä /ci̱ dëë gɛɛr cɛtkɛ mi̱ ti̱i̱ wi̱i̱ dhɔlɔtdä.",religion
"Takthi̱ tin laa pɛ̈thkɛ kɛnɛ ɣöö kɛ kɛn nyin ja̱l ŋua̱thni̱ ti̱ thia̱k kä tekɛ pälpiny, cetkɛ Parö ( Nu 150) kɛnɛ Punakha (Nu 200)",geography
"Ɛn Tuin Otɛr cɛ dee cuɔ̱ŋ pan kä Kokoda ala riääc nhial PNG mi tekɛ CG4684, ɛni ɣöö /kenɛ wä guäthdɛ.",disasters
Rɛy gatɔri tin laa ja̱l kɛ wäär la gëër wargakni jäl nath ɛ thɔl kɛ ɣöö ca niän ran bi̱ lɛ ya̱r.,politics
"Jɛn Kubri̱ cua jɛ tok kɛ ja̱l ɛ gɔaa ni̱ kɛ Paybäŋuan 2017, mee caa guic i̱ ci̱ gua̱th tin laa guɛckɛ kuak ti̱ bä wi̱c mi̱ dɔ̱ŋ thi̱n thuɔ̱k kɛ la̱t kä Bradhi̱l.",disasters
Thiɛlɛ ji̱ ria̱ynhiali̱ ti̱ ci̱ rɔ mat ti̱ lät kɛɛl ti̱ jääl kɛ kɛn bäbdiitni̱ da̱ŋdiɔ̱k diaal tin te jɔɔk Hëmi̱thpiër ( Kä I̱thkaiTi̱i̱m /cɛ kɛ bäl gua̱th ni̱ kiɛn diaal),religion
Mi̱ cie̱ŋi̱ rɛy we̱c ɛmɛ de̱ri ja̱l ɛ thiɛl wargakni̱ ja̱l ti̱ bi̱ lɛ naŋ guäth in thuɔlkɛ naath thi̱n ɛ nyɔk.,religion
"Cäŋni min guici jɛ ɛn ɣöö i̱ deri rɔ mat rɛy ria̱a̱c in la kɔtdi ɛlɔ̱ŋ, biɛ ŋa̱c ɛn ɣöö gɔy tin la thöpkɛ gua̱ckɛ ɛlɔ̱ŋ kä kuak ria̱a̱c in la kɔtdi dee gɔw ni kɛn ɛlɔ̱ŋ kɛ riääc mi dɔ̱ŋ mi te ɛn rɛy buni ria̱thni tɔ̱tɔ̱.",religion
"Kɛ ji ria̱ynhiali̱ ti̱ tɔt kɛn tin ŋot kɛ  mi̱ yuɔrkɛ yio̱w piny thi̱n kɛ kui̱c pärä, mi̱n yuɔ̱th kɛ ni̱ yio̱w ti̱ tɔt piny mi̱ wi̱i̱ gua̱th kunyä .",religion
Ja̱a̱l dëë kɛn dup ti̱ go̱o̱l gui̱l kiɛ  dɔ̱ŋ de̱e̱ të ni̱ kɛn gua̱a̱th kɛl.,religion
"Dhuɔ̱ɔ̱l Böwɛn ɛ gua̱th mi̱ ŋa̱ckɛ kɛ gui̱l ca̱ŋkɛl kiɛ laath kɛɛ thuɔ̱k jokä min tekɛ ger rua̱a̱y, ɣaikiŋ, thukni̱, thukni̱ kuan, kɛnɛ ti̱ guan.",religion
"Köt ria̱a̱c nhial derɛ dual mi di̱i̱t nööŋ ɛlɔ̱ŋ kä nɛy diaal ti tekɛ run ti gööl, ce̱tkɛ ɣöö mi /känkɛ met kɔt ni wen kiɛ cikɛ kɔŋ tekɛ rik ti di̱t ti cikɛ kɔŋ jek kɛ gua̱a̱th ëë ci wä.",religion
"Ɛ ciɛk, na̱ŋdu kɛ thurbilu ɛ jɛn duɔ̱p in röŋ kɛ wä ja̱l duundɛ ɣöö kɛ ɣöö ciɛ mi̱ lätrɔ ni̱ ciaŋ ci̱ thia̱k ni̱ ""tɔ̱ɔ̱c raar"".",religion
Gɔ̱ɔ̱r ciöötni piny ɛ kɛl mi̱ bum kä lät wargakni ja̱l. Röli tin kɔ̱ŋ baa ciötdu gɔ̱a̱r piny kɛ nhiam amäni guäth ciɛŋkädu bi̱ wargak ja̱l kulɛ je̱k.,religion
Gua̱th pi̱i̱ni̱ ti̱ te rɛy wec derɛ laa gua̱a̱th mi̱ gɔa kɛ wä lɔ̱ŋä thin.,religion
Ɛ ɣa̱cdu /ci bath waaŋdu gua̱a̱th in ŋoo k i̱ dup röli̱ ti̱ gööl.,religion
"Vikings la jelkɛ kɛ dup yiëër ji̱ Russia kɛ wädiɛn Baar Black kɛnɛ Caspian. Tha̱a̱ŋ dupni ti̱ti̱ dee naath ja̱l kɛ kɛ bä. Go̱rɛ kä thiecni mi derɛ tekɛ wargakni ja̱l ti dee jɔɔc, tin dɔ̱ŋ dee jekdiɛn bɛ̈c.",geography
"Ce̱tkɛ kɛ ta̱a̱du mee wal,Naŋɛ kɛ ta̱a̱ rɛɛk kɛnɛ ta̱a̱ in de̱ri̱ yio̱w cam kɛ jɛ kɛnɛ miëthdu kɛ kuän kɛ wä ka̱ o̱tɛ̈li̱  tin gɔw ̱ kɛ ɣöö dërɛ ji luäk kɛ ɣöö dëri aklimataidh.",nature
Gaat wec Kuba tin tekɛ gri̱i̱n kard duŋ US bikɛ wä kä Kɔnthulet Ji Ekuɛdɔr kɛ ɣöö baa kɛ kulɛ woc kä ta̱a̱ guɔ̱tni̱ tin görkɛ.,politics
"Guɛc kɛ jɛ ɛn ɣöö ti̱kɛtni̱ ŋarä ti̱ ŋuani̱kɛn bi̱ yio̱wkiɛn te kam ¥2,500 kɛnɛ ¥130,000 , kä ti̱kɛt in ŋa̱ckɛ ni̱ jɛ bɛ tekɛ ¥7,000.",travel
"Ja̱a̱l tin wä wi̱i̱cni̱ tin yor tho̱lbo̱k mi̱ di̱i̱t piny gɔa ɛ kɛ tha̱a̱ŋ gua̱thni̱ kɛ ɣöö /ci̱ yio̱w ti̱ ŋuan bi̱ yuɔr piny, kä ŋɔak ti̱ cetkɛ kɔaaŋ kɛnɛ taap.",religion
Ɛ nyɔk bä tho̱bni̱ kɔpi̱ pɔli̱thi̱/kɔntrak ramin jäl yiɛn kɛɛl kɛnɛ ji maarä kiɛ mäthni̱ tin ci̱ duɔth ciäŋ tin nhɔk ɣöö dee ji̱ luäk.,politics
Europe ɛ gua̱a̱th mi tɔt duŋdɛ ɣöö tëë kɛ rööl ti cuŋ kä rɔ̱diɛn. Mi lotni ɣöö mi go̱ri̱ jäl bi̱ wargakni ja̱l rialikä.,politics
Thi̱rɛna ɛjɛn gua̱a̱th lɔ̱ɔ̱ŋä rɛnyjɛr min mooc naath gua̱a̱th tɔ̱ɔ̱cä kɛnɛ kuan ti̱ gɔw mi̱ waa lɔ̱äŋ wä mat thi̱n. La liöna Than Pɛdiri̱lö kɛnɛ Löth Patöth mooc kɛn ni̱ naath gua̱th tɔ̱cä mi̱ thiɛl kuan.,religion
"Ja̱l laa kuiy yio̱wkɛ mi̱ kɛ yiɛn buɔ̱n mi̱ di̱i̱t, kɛ kui̱c ɛ mɔ mi̱ ti̱i̱ kärca kiɛ yiɛnɛ määthdu kɛl, ɣɔ̱nɛ ɛn ɣöö bi̱ jiek kɛ nɛy ti̱ kɔ̱ŋ kä bia rɔ mat ɛ la buɔ̱n mi̱ cop ŋuaan ɛ wä kä bäkɛl kɛ ɣöö bi yio̱w tin yuɔrkɛ piny kuɛ̈ɛ̈ kä ram kɛl.",politics
Deri ria̱a̱c in dee la ko̱t kɛ ji̱ ni ciaŋ rɛy buni kuany ɛ gɔa.,religion
Mi tëë kɛ mi ci̱ tuɔɔk rɛy we̱c ɛn ci̱ wä thi̱n de̱rɛ ji cop.,religion
Mi̱ naŋi̱ thurbilu kä wä wi̱i̱ ja̱l gua̱a̱th mi̱ na̱n ɛ nhök mi̱ kä raan jɛn kä rɔa.,religion
"Kɛ ta̱a̱ diirä, cäŋni̱ min,ruac kɛɛ ja̱a̱th gɔaɛ en gua̱a̱th ɛmɛ /cɛ cetkɛ tha̱a̱ŋ dupni̱ tin wä ɛ bär, dëë cäätdɛ laa jɛn ta̱a̱ Lëëyni̱ Pɛnnthilbania",religion
"Jɛn caar in di̱i̱t min ɣëbɣëb, tharayɛni̱ nëëni̱ kɛnɛ gua̱th ko̱kä tin caa la̱t kɛ duɔ̱ɔ̱p in ji̱di̱t caa kɛ biɛl kɛ la̱t cieŋ min laa muɔc kɛ wi̱c duɛli̱ kɛ tail mi̱ dɛ̈ɛ̈r, jɛn thuk 18th thënciɛri̱, kɛnɛ muɔ̱thni̱ ti̱ ci̱ dɔŋ kɛnɛ duɛl Kuthni̱, cäŋ ni̱ mee cäät atmɔ̱thpier rɛ̈ɛ̈k kɛɛ ta̱a̱ ji̱ medi̱terɛnian duŋ Eurɔp ɛ /ci̱ maa duŋ Turki̱",religion
"Jɛruthɛlɛm te kɛ gua̱th ɣi̱töri̱ni̱, tin nyooth ciɛŋ ee wal kɛnɛ ka̱lciɛriɛn, kɛɛl kɛnɛ gua̱th ko̱kä ti̱ biɛlbiɛɛl ti̱ ci̱ thua̱a̱ŋ, gua̱th ma̱th ca̱yni̱, kɛnɛ gua̱th miëth kuan.",religion
"Kɛ kɔr runa̱,ja̱a̱l ti̱ ŋuan laa lɛ laa muɔckɛ buɔ̱t kɛ ɣöö /ci̱ kɛn rɔ̱ laa nään agɔaa. kɛn le̱y ri̱ti̱ kɛ le̱y ti̱ di̱t kä bɛckɛ mi̱ caa kɛ moɔ gua̱a̱th.",religion
Läthni jɛ lät ɛn ɣöö bi min deri ŋa̱c kä deri kui̱c mi deri nööŋ rɛc ŋa̱c kä guuri lätni kɛ pek ŋuɔ̱tni tin ca rialikä.,religion
"Kɛ ruɔ̱n 2014, riääc nhial ji̱ Turkey la wëë gua̱thni ti 39 kä wi̱i̱ ti 30 kä Apirka.",politics
"Nɛy ti bieem cukɛ babuur pieth maany, ɛn babuur puɔ̱nydɛ wëë kä Puɛr-tɔ Pirin-thɛ-tha mi te kä Palawan.",geography
Ta̱a̱ ji nyuurä ja̱a̱li̱ min laa 6 min la makämɛ min no̱o̱ŋ ja̱a̱l kɛnɛ ji wec gua̱th kɛl rɛy rɛkni̱ tin wä kɛn kɛ gui̱l.,religion
"Kɛ ɣöö ba̱thni̱ kamni̱ di̱thtrikni̱ laa thiëŋkɛ gua̱thni̱ ti̱ ŋuan, gɔa ni̱ ɣöö dëri̱ ti̱kɛt kɔk ɛ kän cäŋdɛ ni̱ cop.",religion
Nyooth kɛn dup tin ga̱ckɛ tin bä tin laa ja̱l kɛ rup kɛ kɛ kɛnɛ gua̱th tin gɛrkɛ ajiɛlɛni̱ thi̱n.,religion
"Ɛ wä kä Gua̱th Yiënä lëëni̱ Ji Thɔth Apri̱ka dial, tee kɛ ŋa̱c mi̱ te thi̱n ni̱ ciaŋ kä laa yio̱w ɛ yuɔr kɛ piny kɛ gui̱l naath kɛ kɛ.",politics
"Kɔmuni̱ti̱ nɛmɛ min ka̱n ta̱a̱ guɛl min te rɛy Hɔwɛ Thɔɔn ni̱ kɛ jiɛɛndu kä Bankuubɛr, kä dee mal cop ɛ thia̱k kɛ rɛy yieer kɛɛ takthi̱ni̱ tin laa jiɛn kä Granbi̱llɛ Aithland rɛy rɛ̈ɛ̈k Bankuubɛr.",geography
"Ɛŋu la tää jäl rɔl laa no̱o̱ŋɔ, ɛŋu ci̱ kɛn ɛwä guäth diɛn ni̱ ciaŋ?De̱rɛ ciä kɛn la̱a̱t cari̱ kui̱c kɛn ni̱ min lät kɛnɛ walɛ de̱r a ɣöö tëë kɛ mi̱ dɔ̱ŋ mi̱ tuɔk?",religion
"Jɛn rɛk tee niɛ kä jɛn gëkädɛ jɛn po̱l, kä kɛ kɛn tin di̱t tim bɛ̈r kɛ naath, duundɛ jɛn gua̱th ja̱a̱li̱ mɛ ŋa̱ckɛni̱ jɛ mɛ no̱ŋɛ ti̱ ŋuan nɛy tin go̱o̱r ni̱ adbencɛr kɛnɛ nɛy tin bä kɛ guëc kɛ gua̱a̱th mi̱ bäär.",religion
