text,gemini_label
میترو پلس ډیر زیات آرام ورکوونکی او لږ ابیرو بار لرونکي خو یو لږ څه زیات قیمته دی، خو سره له دې بیا هم په اروپا کې د عادي میترو د ټکټونو څخه ارزانه دی,travel
دا ممکن د ځایي پولیسو سره د یوې فورمې ډکولو او یا د مهاجرت د دفترونو ته ورتګ ته اړتیا ولري.,crime
هر سهار وړو کلیوالو قصبو کې خلک په ګاډو کې د خپل کار ځایونو ته ځي او داسې خلکو سره خوا کې تېریږي چې د کار منزل يې هم هغه ځای دی کوم چې دوی همدا اوس پرېښود.,geography
که چیرې تاسي د هیواد په سړکونو کې د موټر چلولو عادی نه یاست، نو خپل ځانونه باید په اړه هوښیار وساتئ: پیچومي درجې، تنګي لاري، او تیره کږلکی پردې غالب دي.,travel
لومړنی لېږد په پښو تلل و، انسانانو شل لکه کاله وړاندې د هومو اېرکټس (چې نېغ سړي معنا لري) د رازرغونېدا سره نېغ تلل پیل کړل.,science
مسافران چې خارج کې د جنسیت د تغییر د جراحي عملیاتو نیت لري باید اطمینان وکړي چې د ستنېدا سفر لپاره معتبر اسناد ځان سره لري.,travel
په نورو معاملو کې یواځی هغوي چې د تورستی هستوګن ځایونو نه بیرون اوسیږی اړ دي چې راجستریشن وکړي ، خو دا کار قانون نو هم مبهم کوي نو ځان پری د مخکې نه پوهه کړه,travel
که پرمخ تلونکي هیواد ته د لومړي ځل لپاره ځې یا د نړئ نوې برخې ته، نو د بالقوې دود او رواج حیرانتیا د نظره ونه غورځوې.,travel
میرمنې: وړاندیز کیږي چې کومې میرمنې مسافرینو ته ووایی چې واده شوي دي، پرته لدې چې د اصلي واده حیثیت په پام کې ونیول شي۔,travel
د چکر وهونکو تګ راتګ ډیر قیمتي دی، د فزیکي روغتیا تقاضا کوي او یواځې د اوړي کې نومبر څخه تر فرورۍ پورې) کیدای شي او تر ډیره د ټاپو وزمو، جزیرو او راس سیند پورې محدود دي.,travel
دي ځاته ته تګ کولای شو جهیل ته د کښتی د یو مناسب سفر سره یوځای کړو,travel
مهرباني وکړئ په یاد ولرئ چې تاسو په حقیقت کې د یو ډله ییز قبر ځای ته ورغلي یاست، چې هم داسې ځای دی چې د نړۍ د پام وړ یوې برخه لپاره تقریبا د نه کېدونکې اندازې معنا لري.,disasters
دا یقیني کړئ چې یو ځل د سمندر غاړې ته ورسیږئ نو هر څه به دیر واضح شي. تاسې به د د بلې کښتۍ سفرکوونکو سره ووینۍ او هغه به تاسې سره خپل معلومات شریک کړي,travel
دغه شان، د شنګن ویزه لرلو په برکت، تاسو نه اړ کېږئ چې د شنګن هر یوه غړي هېواد ته د ویزا خواست ورکړئ، نو دغه د وخت، پیسو، او د کاغذي کاروايئ څخه بچ کېږئ.,travel
دا د هرعادي موټر په کارولو سره تر سره کېدای چې محتاط پلاننګ ولري ،مګر د 4X4 په لوړه کچه مشوره ورکول کېږی، زیات موقعیتونو ته رسیدل د 4X4 د جګی قاعدي موټر نه بغیر ممکن نه دي,travel
په کناګل و واورې سړکونو کې، پدیده ټیټه ده او تاسي نشئ چلولی لکه داسې چې تاسي په اسفالټ یاست.,nature
شریکې ټکسیانې د بیلګې په ډول پارو (Nu 150) او پوناخو (Nu 200) د نږدې ځایونو د سفر لپاره تیزې او آرامه ټکسیانې دي.,travel
ټوين اټرtwin otter پرون څو وار کوښښ وکړ چې د هوایي کرښی د PNG پرواز CG4684 په نوم په کوکوډا kokodaکې کېنی ، مګر مخکې نه یې یو پرواز لغو کړي دي,disasters
د شپې د ويده کېدو اورګاډو کې پاسپورټ کېدای شي چې د کنډکټر له جمع شي ددې په خاطر چې ستاسې خو ب کې مذاحمت ونه شي,travel
دا پل به په بشپړ ډول فعال شي په سپتمبر ۲۰۱۷ کې، کله چې د برازیل ګمرک پوستې پای ته رسیدو تمه کیږي.,business
یو هوایې اتحاد هم نشې کولای ترڅو ټول درې بحري تقاطعات په سهیلي نیمه کره کې عبور کړي ( او SkyTeam یوه تقاطع هم نشې پوښلی.),travel
تر څو چې دغه زون کې اوسېږئ، تاسو عموما د پاسپورټ د کنټرول لپاره د معاینې پوستو باندې بیا راتېرېدو پرته په پولو اوړېدلای شئ.,travel
تاسې به شاید فکر وکړئ چې دا به معقوله وي چې هغه هوایی الوتنه چې ډیر پکې سفر کوئ انتخاب کړئ تاسې باید پر دې خبر واوسئ چې ځینې وختونه وړاندیز کړای شوي امتیازات مختلف وي او د ډیر الوتونکي پوانټونه شاید په ورته ګډ تواف کې بل هوایي شرکت په پرتله زیاتې وي,travel
یواځې یو څو هوایي شرکتونه اوس هم د مړینې کرایه اخلي چې د جنازې د سفر د مصارفو یو څه اندازه پیسې کموي,business
چکر وهونکي ممکن د یوه ځانګړي هیواد مختلفو سیمو ته چکر ووهي او یا یوازې په یوې سیمه باندې خپل تمرکز کوي.,travel
بوين ټاپو bowen island د یوې ورځی مشهور سفر دي یا هم د یوې اوونی د خوند سفر دي چې د کایاکنګ ،پیاده تګ ،دوکانونه،رستورانتونه او نور ډیر څه لري,travel
د هر عمر او شالید خلکو لپاره په جهاز کې سفر یوه ډاروونکې تجربه کېدلای شي، په ځانګړې توګه که دوی وړاندې الوت نه وي کړی یا پرې کومه صدمه تېره شوې ده.,travel
"خلاصه دا چې د سړک چکر لپاره خپل موټر غوره لار ده خو ندرتاً دا پخپله د ""کیمپ"" لاره ګرځي.",travel
نوملیکنه د ويزی د پروسی یو اضافی غوښتنه ده ، په ځینی هیوادونو کې تاسی باید خپله حاضری او د استګنی ځّای ادرس د محلي چارواکو سره ثبت کړي,travel
د اوبو داخلي لارې په شاوخوا کې د رخصتۍ لپاره يوه ښه موضوع کیدې شي.,travel
د نورو لپاره په وړلو کې- هیڅکله خپلې بکسې د خپل نظر څخه لیرې مه پریږدۍ په ځانګړي ډول کله چې تاسې د بین المللي پولو تیریږئ.,travel
سکاندیناوي خلکو یا Vikings د روسیې د اوبو لارې تور سمندر او کاسپین سمندر ته درسیدو لپاره استعمالولې. ددې لارو بعضې برخې تر اوسه استعمالیدای شي. د ممکنو ځانکړو اجازتنامو په اړه څیړنه وکړه کوم چې په مشکله لاسته راوړل کیدای شي.,geography
په ځانګړي ډول په خپلو لومړیو ورځو کې په مغربي طرز او با کیفیته هوټلونو، خوړو او چوپړتیاوو باندې پیسې مصرفول په نظر کې ونیسه چې د یو ځای یا شیانو سره د ځان په سمولو او عیارولو کې مرسته کوي.,travel
د کیوبا اوسیدونکی چی د امریکا د ایالاتو د ګرین کارډ لرونکی دی باید چی د ایکوادور قونصلی ته مراجعه وکړی چی ددی اړتیا څخه معافیت تر لاسه کړی.,politics
تمه کیږي چې د پیښې ډیری ټیکټونه به د ۲،۵۰۰ څخه تر ¥ ۱۳۰،۰۰۰ ين پورې وي، د معمول ټیکټونو شاوخوا ۷،۰۰۰ لګښت لري۔,entertainment
مسافر چې داسې هېوادونو ته روان وي چې هلته درنه مالیه اخستل کیږي ممکن ده ځنه وخت، په ځانګړې توګه په داسې تولیداتو لکه الکولي مشرباتو او تمباکو، د پام وړ اندازه پیسې بچت کړي.,travel
د سفر ملګرو او خپلوانو یا ملګرو ته د پالیسۍ / تماس نقلونه هم ورکړئ چې بيرته په کور کې مرسته کول غواړي.,travel
اروپا یوه لویه وچه ده چې تقابلي ډول واړه خو ډېر شمېر ازاد هېوادونه لري. په عامه توګه ګڼ شمېر هېوادونو باندې راتېر سفر کولو لپاره تاسو اړ یاست چې د وېزو لپاره خواستونو او د پاسپورټ معاېنه کوونکو ځایونو کې څو ځله ایسار شئ.,travel
"سیرینا یواځنی رینچر سټیشن دي چې د اوسیدو لپاره د لیلیې او ګرم خواړه د کېمپنګ لپاره لري. لا لیونا سانla leons san, پیډریلوpedrillo ، او لاس پا توس las patos یواځی د کمپنګ سهولت ورکوي بغیر د ډوډۍ د خدماتو نه",travel
د لويو ډلو لپاره سفر ارزانه وي ، که ته یواځی او یا هم د یو ملګری سره یې ،کوښښ وکړه چې نور خلکو سره وګوری او د کس په سر د ښه قیمت لپاره د د څلورو نه تر شپږو کسانو پورې ګروپ جوړ کړي,travel
ته باید د ګډ توافق په صورت کې په احتیاط سره عامه الوتکه انتخاب کړې,travel
که هغه هېواد چې تاسو چکر وروهئ په اړه سفري تنبیهي سلاوو ورکړل شي، نو کېدې شي سفر کې د ستاسو صحي بیمه یا د ستاسو د دورې د کېنسل کېدا بیمه اغېزمنه شي.,travel
په خپل موټر کې سوریدل او په یو اوږد سفر باندي وتل د خپلی سادګۍ سره یو بیل خوند لري,travel
عجبه دا چې دلته، په دې لارې نورو اوږدو لکه د پنسالوینیا وایلډ په پرتله، د موبایل سګنلې زیاتې غښتلې دي.,geography
که څه هم دا ښار د دودیزې ترکیه نه بلکې د مدتراني اروپا فضا لري، دلته پراخ سړکونه، شیشه تندی ودانیو او جدید سودا مرکزونو په منځ کې د سرو خښتو دودیز چتونه، د 18مې پېړۍ بازار، او زاړه جماتونه او کلیساوې ځای ځای ښکاري.,travel
یروشلم د خوځنده او د خلکو نه ډک د سودا مرکزونه ،کېفی ګانی، او رستورانتونو لرلو سره ډیر تاریخی، لرغونی ،او کلتوری ځایونه ههم لري,geography
هر کال لسګونه خلک مناسبه فاصله نه ساتلو له امله ټپي کیږي. دا ځناور غټ، وحشي، او ممکناً خطرناک دي، نو خپل ځای کې یه ځان ته پرېږدئ.,nature
ته باید دا خبره یقینی کړی چی ته په دی پوهیږی چی ته څه کولای شی او نه شی کولای چی نوی داسی یو څه معرفی کړی چی د قانونی چوکاټ څخه بیرون وی.,politics
ترکيه هوايي شرکت تر ۲۰۱۴ پورې ۳۰ افریقی هیوادونو کې ۳۹ منزلونو ته الوتنه کوي.,travel
د اوینجز صنف ماین تقابلي اقداماتو یوه کښتۍ په پالوان کې پورټو پرینسا ته په لاره وه.,disasters
د میلمستیا د تبادلې شبکه داسې یوه اداره ده چې مسافر او ځایي خلک سره په هغو ښارونو کې چې غواړي سفر وکړي مخامخ کوي.,travel
ځکه چې د اولسوالیو تر منځه چلېدونکي بسونه ډېری وخت ډک وي، نو ښه سلا ده چې ټکټونه څو ورځې وړاندې واخستل شي.,travel
دوی د مشهورو د پیاده چکرو او د سایکل لارې هم ښيي.,geography
د ټولو جنوبي افریقایي ملي پارکونو لپاره، د هر پارک لپاره د محافظت او د داخلې فیسونه وجود لري.,travel
دا مستنده ټولنه په هووي ساوڼد کې موقعیت لري د وينکوور څخه لږ اخواته ،او په اسانی سره ورته د اوبو ډتاکل شوي تیکسیس له لارې ورته رسیدل کېدلای شي چې د ینکوور کې د ښار د لاندېني برخه کې د ګرینويل ټاپو څخه راوځی,geography
د ټرانسپورټ نظامونه ولې داسې شکایتونه زېږوي، دا ولې په هره ورځنۍ توګه پاتې راځي؟ آیا د ټرانسپورټ انجنیران بس نالایق دي؟ یا ایا کوم بل زیات بنیادي خبره هم شته؟,technology
مرکز ښار سمدلاسه رازې او ډير لوې پام لرې، مګر دا مشهور سیاحت ځای دواړه د سفر ساتونکي او لیدونکي د اوږدې مودې لپاره کافی فرصتونه وړاندې کوي۔,travel
د Siant Petersburg په سمندري سفرونو کې د ښار وخت هم شامل دی. د سمندري سفرونو مسافرو لپاره د ویزې شرطونه معاف دي (شرایط وګورئ),travel
مخکې لدې چې هوټل ته مراجعه وشي باید ټول تعدیلات او پیشنهادات د سفرې نماینده سره شریک شي.,travel
د شپیتو څخه زیاتی کښتۍ د ګالاپګوس په اوبو څی راځی د اندازی له مخی د اتو څخه تر سلو پورې سورلی لري,geography
که د یو سیلانی د یوه خاص ځای ته د تلو نه د هغه ځای د تاریخ ،کلتور باندي ځان پوهول وي نو دي ډول سیاحت ته کلتوری سیاحت ويلای شي,travel
د مدینه په نوم د ښار زړې برخه کې داسې ځایونه شته چې دودیز مراکشي شیان، لکه طجینونه، خټین لوښي، د څرمنې شیان، چیلمونه، او د مختلفو جیګاوونو یو طیف، خرڅوي خو دا ټول د سېګرانو لپاره دي.,travel
سفر کوونکي چې د نوي کلتورونو سره د ځان برابرولو کې آسانتیا ویني، بعضې وختونه د خپل ځایي کلتور سره بیرته برابرولو کې له سخت مشکل سره مخامخ کیږي.,travel
د خپل دوهم ځلی د کېناستو د هڅی په مهال د کېناستلو د ټاکلی وخت نه تقریبا لس دقیفی مخکې ورکه شوه.,politics
ایکوادور د کیوبا د خلکو څخه چی غواړی ایکواډور ته د نړیوال هوایی ډګر اویا هم د ځمکی د لاری داخل شی مخکی د دعوت نامی غوښتنه کوی.,politics
