text,gemini_label
"MetroPlus em i gutpela moa na i no gat planti manmeri, tasol em i moa ekspensif moa, tasol em i liklik mani moa long ol nomol tiket bilong ol trein i save ron aninit long graun long Europe.",travel
Long mekim dispela yu bai pulapim wanpela pepa wantaim ol lokel polis o go lukim ol ofis bilong 'immigration'.,politics
Olgeta moning. ol manmeri i save lusim liklik kantri taun taim ol i kalap long kar long go long ol ples bilong ol long wok na ol i save abrus ol narapela lain we ples bilong ol long wok i stap long ples we ol i lusim nau tasol na i kam.,travel
"Sapos yu no save long draiv long ol rot autsait long siti, yu mas strongim yu yet: i gat ol ples we i sut i go daun o i kam antap, i gat ol liklik rot we i no gat spes long ron, na ol sap kona.",travel
"Namba wan 'transportation' em wokabaut, ol manmeri i stat long wokabaut long tupela lek tu miline yia i go pinis taim ol Homo Erectus (dispela em i min olsem 'upright man') i kamap.",science
Ol lain bilong travel we i plen long go mekim 'sex reassignment surgery' long narapela kantri i mas ol 'valid documents' bilong ol long yusim taim ol i kam bek.,health
"Long narapela taim, ol lain we i stap autsait long ol ples we ol turis i save stap long en em ol i nid long mekim dispela 'registration'. Tasol, dispela i mekim na lo bai i no inap klia, olsem na yu mas painimaut pastaim.",travel
Sapos yu wok long travel i go long wanprla kantri we i wok long divelop yet long namba wan taim – o long wanpeal nupela hap bilong graun – no ken ting olsem yu no inap long kisim 'culture shock'.,travel
"Ol meri: Em i gutpela olsem ol meri i we i go long hap i mas tok olsem ol i marit, maski ol i no marit tru tru.",politics
"Em i bikpela mani long ol turis long i go na lukim dispela ples. Bodi bilong ol turis i mas fit long i go long dispela hap na ol i ken i go long taim bilong sama long Novemba i go long Febueri, na ol i ken i go long Peninsula, Islands na Ross Sea.",travel
Wanpela raun i go long dispela hap em yu ken bungim i go wantaim wanpela raun long bot i go long raunwara.,travel
"Plis tingim olsem yu bai lukim wanpela bikpela matmat we ol i planim planti lain long en, tu dispela ples em i gat bikpela mining long planti manmeri long dispela graun.",religion
