text,gemini_label
"I-MetroPlus itofotofo kancinci yaye ayigcwali kakhulu kodwa ikwabiza ngakumbi, nangona ixabisa ngaphantsi kwamaxabiso emetro eYurophu.",travel
Oku kungafuna ugcwalise ifomu emapoliseni asekuhlaleni okanye utyelele iifofisi ezigunyazisa ukungena nokuphuma elizweni.,crime
"INtsasa nganye, abantu bashiya iidolophana zelizwe ezimotweni besiya kwiindawo zabo zokusebenza kwaye badlulwe kwabanye abadawo abasebenza kuyo yindawo abasandula ukuyishiya.",business
"Ukuba awuqhelanga ukuqhuba kwiindlela zasezilalini, hlala uphaphile: iindawo ezehla kakhulu, iindlela ezincinane, kunye neekona zixhaphake kakhulu",travel
"Indlela yokuqala yokuhamba yayihamba, abantu baqala ukuhamba nkqo izigidi ezibini zeminyaka eyadlulayo ngokuvela kukaHomo Erectus (kuthetha indoda ethe tye).",science
Abahambi abaceba utyando lokutshintsha isini bekwamanye amazwe bamele baqinisekise ukuba baphethe amaxwebhu afanelekileyo xa bebuyela emva.,health
"Kwezinye iimeko, ngabo bahlala kwiindawo ezingezizo ezabahambi kuphela ekufuneka babhalise. Sekunjalo, oku kwenza umthetho ungaqondakali, ngoko zama ukufumanisa ngaphambi kwexesha.",travel
Ukuba uya kwilizwe elisakhulayo okokuqala- okanye kwindawo entsha ehlabathini- ungakuthathi kancinci ukothuswa sisthethe sendawo.,travel
"Amabhinqa: Kucetyiswa ukuba amabhinqa akhenkethayo athi atshatile, kungakhathaliseki ukuba atshatile okanye awatshatanga.",travel
"Ukutyelelwa kubakhenkethi kuyabiza, kufuna amandla omzimba, anokwenzeka kuphela ehlotyeni ngo-Novemba, kwaye ikakhulu kunikelwe umda kwiPeninsula, Islands kunye neRoss Sea.",travel
Utyelelo kwindawo lungadityaniswa ngokuchuliweyo kunye nohambo ngesikhephe oluya echibini.,travel
"Nceda ukhumbule ukuba eneneni utyelela ingcwaba ekungcwatywe kulo abantu abaninzi, kwakunye nokuba yindawo ebaluleke ngendlela engathethekiyo kubantu abaninzi emhlabeni wonke.",religion
Qinsekisa ukuba ukhe wachana i-marians yonke into iyakube sele icacile. Uyakudibana nesinye isikhitshane sabahayikhayo kwaye bayakwabelana nawe ngeenkcukacha zabo.,travel
"Ngokufanyo, xa uneSchengen visa, akuyomfuneko ukuba ufake izicelo zevisa zamazwe ahlukahlukeneyo akwiSchengen, loo nto ikongela ixesha, imali nokugcwalisa amaphepha.",travel
Oku kungenzeka ngesithuthi esiqhelekileyo ngokuceba okuchanileyo kodwa inqwelo eyi 4x4 yeyona ikhuthazwayo kuba ingingqi ezinintsi zifikeleleka ngesithuthi esimavili ayi 4x4.,travel
"Kwiindlela ezineqabaka nekhephu, ukukhuhleka kuncinci kwaye awunakuqhuba ngokungathi ukwitha eze.",travel
"Iteksi ozikhwela nabanye abantu yindlela ekhawulezayo nemnandi yokuya kwiindawo ezikufutshane, njengaseParo (Nu150) nasePunakha (Nu 200).",travel
"I-Twin Otter ibizama ukwehlela eGat Kokoda izolo njengoko iAirlines PNG Flight C4684, ibisele irhoxisile.",disasters
"Koololiwe ekulalwayo kubo, iipasipoti zinokuqokelelwa ngumqhubi ukuze ungaphazanyiswa ebuthongweni bakho.",travel
